          x          y
 124.899403 141.794859
  76.884554 137.955281
  10.824256  17.907235
 324.667916 273.097965
 120.045005  62.860476
 120.745675  65.902874
 110.444777 215.424127
   9.461987  13.373291
  71.243568  61.510482
  40.049586  29.241211
  14.440574  21.226351
  54.109919  38.470751
  28.525079  15.696156
  89.062818  54.068128
  75.274861  69.720369
  35.088710  31.241327
  16.479621  15.827016
  51.574396  73.311107
   6.241330   5.287396
  17.693693  31.276318
  52.286436  28.527686
   8.827452  10.227488
  20.112870  30.781690
  12.072060  18.796012
   9.108619  12.007274
 242.963123 182.595707
  28.850766  40.021504
  10.805967   9.517010
  14.655687   9.379913
  30.775198  49.349015
  18.178231  23.948973
  67.631707  46.677725
  10.606957  15.670239
  61.462907  51.900010
   5.308919   3.644295
   2.996053   4.947110
   7.273225  10.619005
  13.422811   9.854998
  36.839086  35.799592
  12.091897   7.579147
  68.284269 132.749052
  45.481351  39.167071
  27.187009  29.393401
  45.156746  26.256211
  12.501935  19.729818
   5.049055   5.184491
   9.164551   4.806023
 175.980735 216.278197
  35.231971  64.788443
  21.987999  42.095776
